id_line,name_line,id_groupoflines,air_conditioning,route_id,temperature,stop_id,nb_validations,temp_score,stops_score,validations_score,ac_score,priority_score,rank
C01780,La Navette de Thiais,A02140,false,C01780,24.359207,8,,0.24883097,0.07608695652173914,,1.0,,188
C01841,P,A01844,unknown,C01841,24.535404,2,,0.6808026,0.010869565217391304,,1.0,,189
C01848,R,A01845,unknown,C01848,24.665602,2,,1.0,0.010869565217391304,,1.0,,190
C01853,E,A01843,unknown,C01853,24.356684,5,,0.24264444,0.043478260869565216,,1.0,,191
C02744,277,A02950,unknown,C02744,24.27445,40,,0.041037727,0.42391304347826086,,1.0,,192
C01144,115,A00999,partial,C01144,24.281832,19,,0.059134353,0.1956521739130435,,0.5,,193
C01846,J,A01852,unknown,C01846,24.324636,10,,0.16407609,0.09782608695652174,,1.0,,194
C01850,B,A01857,unknown,C01850,24.605782,3,,0.8533425,0.021739130434782608,,1.0,,195
C01852,D,A01842,unknown,C01852,24.53393,9,,0.677188,0.08695652173913043,,1.0,,196
C02254,40,A00923,partial,C02254,24.427553,43,,0.41639078,0.45652173913043476,,0.5,,197
C02494,Bus de substitution du métro 14,A01547,false,C02494,24.614319,9,,0.8742729,0.08695652173913043,,1.0,,198
C02723,A04 Paris La Villette,,unknown,C02723,24.293255,1,,0.0871397,0.0,,1.0,,199
C01300,ROISSYBUS,A01157,true,C01300,24.605782,1,,0.8533425,0.0,,0.0,,200
C01362,V5,A01238,false,C01362,24.336317,3,,0.19271272,0.021739130434782608,,1.0,,201
C01842,H,A01849,unknown,C01842,24.535404,2,,0.6808026,0.010869565217391304,,1.0,,202
