arrid,arrname,arrgeopoint,zdaid,lat_left,lon_left,geometry,lon_right,lat_right,temperature
28187,Collège Plaisance,"48.801001261994045, 2.4575464998786813",57518,48.801001261994045,2.4575464998786813,POINT (2.4575464998786813 48.801001261994045),2.4467,48.806,24.510483
27600,Rhin et Danube,"48.77175172652942, 2.4899630213120463",45721,48.77175172652942,2.4899630213120463,POINT (2.4899630213120463 48.77175172652942),2.4828,48.762,24.336353
27532,I.U.F.M.,"48.76625330465822, 2.485064326889653",45718,48.76625330465822,2.485064326889653,POINT (2.485064326889653 48.76625330465822),2.4828,48.762,24.336353
27508,Joseph Franceschi,"48.80646151466375, 2.4231771533050646",50223,48.80646151466375,2.4231771533050646,POINT (2.4231771533050646 48.80646151466375),2.4126,48.806,24.47005
26900,Lenain de Tillemont,"48.86083878814884, 2.46018113143082",53182,48.86083878814884,2.46018113143082,POINT (2.46018113143082 48.86083878814884),2.4447,48.851,24.281832
24739,Progrès - Armand Carrel,"48.851658620003676, 2.418411309071549",58373,48.851658620003676,2.418411309071549,POINT (2.418411309071549 48.851658620003676),2.4106,48.851,24.405943
24734,Cuvier,"48.8512022541069, 2.4244671491775693",52761,48.8512022541069,2.4244671491775693,POINT (2.4244671491775693 48.8512022541069),2.4106,48.851,24.405943
24374,Jean Le Galleu,"48.81038933228211, 2.379572386699378",50400,48.81038933228211,2.379572386699378,POINT (2.379572386699378 48.81038933228211),2.3786,48.805,24.357708
485970,Denfert-Rochereau - Métro-RER,"48.83348903356277, 2.3334551717294314",463897,48.83348903356277,2.3334551717294314,POINT (2.3334551717294314 48.83348903356277),2.3434,48.827,24.336317
463815,Chevaleret,"48.834755952980906, 2.3680292996484056",463876,48.834755952980906,2.3680292996484056,POINT (2.3680292996484056 48.834755952980906),2.3775,48.828,24.588678
462447,Vaillant-Couturier - Lénine,"48.818328888723336, 2.3985448804663796",44294,48.818328888723336,2.3985448804663796,POINT (2.3985448804663796 48.818328888723336),2.4116,48.828,24.454836
40893,Debussy - Chandon,"48.923099473648676, 2.2973715529936394",58859,48.923099473648676,2.2973715529936394,POINT (2.2973715529936394 48.923099473648676),2.305,48.916,24.277391
